page,context_headings,gebinde,ve,inhalt,pzn,artnr
36,DESCOSEPT PUR • • • • • • • • • • • • • / FLÄCHE / DESCOSEPT SPEZIAL / PREVENT,Flasche,20,500 ml,10045713,00-208-005
36,DESCOSEPT PUR • • • • • • • • • • • • • / FLÄCHE / DESCOSEPT SPEZIAL / PREVENT,Sprühflasche,6,750 ml,14334621,00-208-0075
36,DESCOSEPT PUR • • • • • • • • • • • • • / FLÄCHE / DESCOSEPT SPEZIAL / PREVENT,Flasche,10,1 L,07396797,00-208-010
36,DESCOSEPT PUR • • • • • • • • • • • • • / FLÄCHE / DESCOSEPT SPEZIAL / PREVENT,Kanister,3,5 L,07396805,00-208-050
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Flasche,20,500 ml,16943815,00-323DS-005
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Sprühflasche,6,750 ml,18841409,00-323DS-0075-02
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Flasche,10,1 L,15573233,00-323DS-010
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Kanister,3,"2,5 L",17397869,00-323DS-025
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Kanister,3,5 L,15573196,00-323DS-050
36,PREVENT / PREVENT PRESERVE PROTECT / DESCOSEPT SENSITIVE / PRESERVE,Kanister,1,10 L,15573204,00-323DS-100
38,VAH / HACCP / DESCOSEPT PUR / PRESERVE,Flasche,10,1L,01898718,00-323-010
38,VAH / HACCP / DESCOSEPT PUR / PRESERVE,Kanister,3,5L,01834380,00-323-050
38,VAH / HACCP / DESCOSEPT PUR / PRESERVE,Kanister,1,10L,03979906,00-323-100-01
38,HACCP / DESCOSEPT PUR / PRESERVE / PREVENT PRESERVE PROTECT,Flasche,6,2L,18703104,00-270-020
42,OPTISAL ® PLUS • • • • • • • • • • • • • • / OPTISEPT® • • • • • • • • • • • • • / FLÄCHE / CLEANISEPT®,Dosierflasche,10,1 L,01834724,00-204-010
42,OPTISAL ® PLUS • • • • • • • • • • • • • • / OPTISEPT® • • • • • • • • • • • • • / FLÄCHE / CLEANISEPT®,Griffflasche,6,2 L,16202237,00-204-020-01
42,OPTISAL ® PLUS • • • • • • • • • • • • • • / OPTISEPT® • • • • • • • • • • • • • / FLÄCHE / CLEANISEPT®,Kanister,3,5 L,01834747,00-204-050
42,OPTISAL ® PLUS • • • • • • • • • • • • • • / OPTISEPT® • • • • • • • • • • • • • / FLÄCHE / CLEANISEPT®,Kanister,1,10 L,01834753,00-204-100
42,CLEANISEPT® / PREVENT PRESERVE PROTECT / PREVENT / BIGUANID FLÄCHE NR,Dosierflasche,10,1 L,17529526,00-201-010-02
42,CLEANISEPT® / PREVENT PRESERVE PROTECT / PREVENT / BIGUANID FLÄCHE NR,Kanister,3,5 L,16858512,00-201-050-02
42,CLEANISEPT® / PREVENT PRESERVE PROTECT / PREVENT / BIGUANID FLÄCHE NR,Kanister,1,10 L,16858529,00-201-100-02
43,PREVENT / IHO / ÖGHMP / VAH,Sachet,200,40 ml,15869123,00-214-0004-01
43,PREVENT / IHO / ÖGHMP / VAH,Dosierflasche,10,1 L,03979912,00-214-010
43,PREVENT / IHO / ÖGHMP / VAH,Kanister,3,5 L,03979929,00-214-050
43,PREVENT / IHO / ÖGHMP / VAH,Kanister,1,25 L,18843986,00-214-250
44,VAH / 0 % QAV / OPTISAL® N / OPTISAL® PLUS,Sachet,200,20 ml,18453558,00-245-0002-01
44,VAH / 0 % QAV / OPTISAL® N / OPTISAL® PLUS,Dosierflasche,10,1 L,18453564,00-245-010-01
44,VAH / 0 % QAV / OPTISAL® N / OPTISAL® PLUS,Kanister,3,5 L,18453570,00-245-050-01
44,VAH / 0 % QAV / OPTISAL® N / OPTISAL® PLUS,Kanister,1,25 L,18453587,00-245-250-01
44,ÖGHMP / VAH / HACCP / OPTISEPT®,Dosierflasche,10,1 L,05381047,00-205-010
44,ÖGHMP / VAH / HACCP / OPTISEPT®,Kanister,3,5 L,05381136,00-205-050
44,ÖGHMP / VAH / HACCP / OPTISEPT®,Kanister,1,10 L,14374891,00-205-100
45,ÖGHMP / VAH / PROTECT / ULTRASOL® ACTIVE,Sachet,100,40 g,18220280,00-255-0004
45,ÖGHMP / VAH / PROTECT / ULTRASOL® ACTIVE,Dose,6,1 kg,10110149,00-255-010
50,NEU NEU / CLEANISEPT® WIPES / CLEANISEPT® WIPES MAXI / PREVENT PRESERVE PROTECT,Spenderdose,12,100 Tücher,15559262,00-208-D100-01
50,NEU NEU / CLEANISEPT® WIPES / CLEANISEPT® WIPES MAXI / PREVENT PRESERVE PROTECT,Nachfüllpack,12,100 Tücher,15559256,00-208-R100-01
50,CLEANISEPT® WIPES / CLEANISEPT® WIPES MAXI / PREVENT PRESERVE PROTECT / PREVENT PRESERVE PROTECT,Packung,6,100 Tücher,14307311,00-208-T100
51,DESCOSEPT SPEZIAL WIPES / DESCODERM PADS / PREVENT PRESERVE PROTECT / PREVENT PRESERVE PROTECT,Nachfüllpack,2,100 Tücher,12410967,00-208-RS100-01
54,DESCOSEPT SENSITIVE / WIPES XL / PRESERVE / PREVENT PRESERVE PROTECT,Standbodenbeutel,4,120 Tücher,18386833,00-323DS-OSEB120
55,ÖGHMP / VAH / HACCP / CLEANISEPT® WIPES FORTE,Spenderdose,12,100 Tücher,10403408,00-235-D100
55,ÖGHMP / VAH / CLEANISEPT® WIPES / FORTE MAX I,Packung,6,100 Tücher,14307305,00-235-T100
56,ÖGHMP / VAH / HACCP / ULTRASOL OXY® WIPES,Packung,6,72 Tücher,20131945,00-270-T072
56,ÖGHMP / VAH / HACCP / ULTRASOL OXY® WIPES,Standbodenbeutel,4,120 Tücher,18703096,00-270-OSEB120
60,ZUVERLÄSSIG  DESINFIZIERT / DESCO WIPES / ECO WIPES / FLÄCHE,ONE SYSTEM PLUS,2,100 Blatt,12380433,00-915-OSEE100-01
62,S. 43 / BIGUANID / FLÄCHE NR / S. 42,ONE SYSTEM BASIC,4,120 Blatt,15190609,00-915-OSEB120-01
68,DECONTAMAN PRE CAP • • • • • • • • • • / HÄNDE UND HAUT / DECONTAMAN PRE WASH / DECONTAMAN PRE WIPES,Spenderflasche,20,500 ml,15433584,00-531-005
68,DECONTAMAN PRE CAP • • • • • • • • • • / HÄNDE UND HAUT / DECONTAMAN PRE WASH / DECONTAMAN PRE WIPES,Spenderflasche,12,1 L,15433561,00-531-010
68,DECONTAMAN PRE CAP • • • • • • • • • • / HÄNDE UND HAUT / DECONTAMAN PRE WASH / DECONTAMAN PRE WIPES,Kanister,3,5 L,15433578,00-531-050
68,DECONTAMAN PRE CAP • • • • • • • • • • / HÄNDE UND HAUT / DECONTAMAN PRE WASH / DECONTAMAN PRE WIPES,Packung,24,10 Tücher,15433609,00-530-T010
72,ASEPTOMAN® GEL • • • • • • • • • • / HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI,Kittelflasche,20,150 ml,19730818,00-401-0015-02
72,ASEPTOMAN® GEL • • • • • • • • • • / HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI,Spenderflasche,20,500 ml,19730824,00-401-005-02
72,ASEPTOMAN® GEL • • • • • • • • • • / HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI,Spenderflasche,12,1 L,19730830,00-401-010-03
72,ASEPTOMAN® GEL • • • • • • • • • • / HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI,Kanister,3,5 L,19730847,00-401-050-01
72,HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI / PREVENT PRESERVE PROTECT,Kittelflasche,20,150 ml,16202183,00-403OP-0015-01
72,HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI / PREVENT PRESERVE PROTECT,Spenderflasche,20,500 ml,09614637,00-403OP-005
72,HÄNDE UND HAUT / DESCODERM / ASEPTOMAN® PARFÜMFREI / PREVENT PRESERVE PROTECT,Spenderflasche,12,1 L,09614583,00-403OP-010
73,IHO / ÖGHMP / VAH / HACCP,Kittelflasche,20,100 ml,20228515,00-457OP-001
