Artikelnummer,Produktname,Gebinde,UVP,PL1,PL2,PL3,PL4,PL5,PL6
00-457OP-0005-01,ASEPTOMAN® MED,50 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,100 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,150 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,700 ml (ESH Vacu-Bag kurze Pumpe),10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,700 ml (ESH Vacu-Bag lange Pumpe),10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-457OP-0005-01,ASEPTOMAN® MED,5 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-409-0015-02,ASEPTOMAN® GEL,150 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-409-0015-02,ASEPTOMAN® GEL,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-409-0015-02,ASEPTOMAN® GEL,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-410OP-0015,ASEPTOMAN® VIRAL,150 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-410OP-0015,ASEPTOMAN® VIRAL,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-410OP-0015,ASEPTOMAN® VIRAL,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-401-0015-02,DESCODERM,150 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-401-0015-02,DESCODERM,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-401-0015-02,DESCODERM,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-401-0015-02,DESCODERM,5 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-401-0015-02,DESCODERM,250 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,750 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,"2,5 L",10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,5 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-005,DESCOSEPT SENSITIVE,10 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-T060,DESCOSEPT SENSITIVE WIPES,60 Tücher,10.0,9.0,8.0,7.0,6.0,5.0,
00-323DS-T060,DESCOSEPT SENSITIVE WIPES,100 Tücher,10.0,9.0,8.0,7.0,6.0,5.0,
00-208-005,DESCOSEPT SPEZIAL,500 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-208-005,DESCOSEPT SPEZIAL,750 ml,10.0,9.0,8.0,7.0,6.0,5.0,
00-208-005,DESCOSEPT SPEZIAL,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-208-005,DESCOSEPT SPEZIAL,5 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-270-T072,ULTRASOL OXY® WIPES,72 Tücher,10.0,9.0,8.0,7.0,6.0,5.0,
00-255-0004,ULTRASOL® ACTIVE,40 g,10.0,9.0,8.0,7.0,6.0,5.0,
00-255-0004,ULTRASOL® ACTIVE,1 kg,10.0,9.0,8.0,7.0,6.0,5.0,
00-155-0004,PERFEKTAN® ACTIVE,40 g,10.0,9.0,8.0,7.0,6.0,5.0,
00-155-0004,PERFEKTAN® ACTIVE,1 kg,10.0,9.0,8.0,7.0,6.0,5.0,
00-150-010,DESCOTON EXTRA,1 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-150-010,DESCOTON EXTRA,2 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-150-010,DESCOTON EXTRA,5 L,10.0,9.0,8.0,7.0,6.0,5.0,
00-915-SKD001,"VLIESTUCHSPENDER 3 L, KLEIN",1 Stück,10.0,9.0,8.0,7.0,6.0,5.0,
00-915-SKD001,"VLIESTUCHSPENDER 3 L, KLEIN",6 Stück,10.0,9.0,8.0,7.0,6.0,5.0,
